num,States,Y11,Y12,Y13,Y14,Total
1,JammuKashmir,10688,11052,11428,11815,44983
2,Himachal Pradesh,5836,5966,6097,6230,24129
3,Punjab,23506,24006,24512,25026,97050
4,Chandigarh,893,915,937,960,3705
5,Uttaranchal,8633,8899,9173,9455,36160
6,Haryana,21539,22122,22721,23336,89718
7,Delhi,14204,14517,14836,15160,58717
8,Rajasthan,58426,60065,61743,63459,243693
9,Uttar Pradesh,170013,175404,180945,186638,713000
10,Bihar,88563,91721,94981,98346,373611
11,Sikkim,490,513,539,571,2113
12,Arunachal Pradesh,1108,1134,1160,1187,4589
13,Nagaland,1579,1595,1612,1630,6416
14,Manipur,2149,2119,2092,2066,8426
15,Mizoram,871,885,900,914,3570
16,Tripura,2944,3036,3141,3259,12380
17,Meghalaya,2367,2413,2460,2507,9747
18,Assam,24846,25119,25391,25663,101019
19,West Bengal,77806,79915,82087,84325,324133
20,Jharkhand,28135,29067,30026,31012,118240
21,Odisha,35736,36599,37478,38375,148188
22,Chattisgarh,21835,22569,23325,24105,91834
23,Madhya Pradesh,61883,63814,65797,67831,259325
24,Gujarat,51415,52920,54469,56061,214865
25,DamanDiu,209,232,259,288,988
26,DadraNagar Haveli,293,310,328,349,1280
27,Maharashtra,95508,97674,99871,102101,395154
28,Andhra Pradesh,72395,74900,77543,80334,305172
29,Karnataka,52099,53476,54886,56330,216791
30,Goa,1240,1266,1293,1321,5120
31,Lakshadweep,55,58,60,63,236
32,Kerala,28583,29434,30372,31400,119789
33,Tamil Nadu,61266,62049,62830,63609,249754
34,Pondicherry,1069,1114,1160,1208,4551
35,AndamanNicobar Islands,321,326,331,335,1313
36,JammuKashmir,4703,4863,5028,5198,19792
37,Himachal Pradesh,2568,2625,2683,2741,10617
38,Punjab,10343,10563,10785,11011,42702
39,Chandigarh,393,403,413,423,1632
40,Uttaranchal,3798,3916,4037,4160,15911
41,Haryana,9477,9734,9998,10268,39477
42,Delhi,6250,6387,6529,6670,25836
43,Rajasthan,25707,26429,27168,27922,107226
44,Uttar Pradesh,74806,77178,79616,82121,313721
45,Bihar,38968,40357,41792,43272,164389
46,Sikkim,216,226,237,251,930
47,Arunachal Pradesh,487,499,510,522,2018
48,Nagaland,695,702,709,717,2823
49,Manipur,946,932,920,909,3707
50,Mizoram,383,389,396,402,1570
51,Tripura,1295,1336,1382,1434,5447
52,Meghalaya,1041,1062,1082,1103,4288
53,Assam,10932,11052,11172,11292,44448
54,West Bengal,34235,35163,36118,37103,142619
55,Jharkhand,12380,12790,13211,13645,52026
56,Odisha,15724,16103,16490,16885,65202
57,Chattisgarh,9607,9930,10263,10606,40406
58,Madhya Pradesh,27229,28078,28951,29846,114104
59,Gujarat,22623,23285,23966,24667,94541
60,DamanDiu,92,102,114,127,435
61,DadraNagar Haveli,129,136,144,153,562
62,Maharashtra,42023,42976,43943,44924,173866
63,Andhra Pradesh,31854,32956,34119,35347,134276
64,Karnataka,22923,23529,24150,24785,95387
65,Goa,546,557,569,581,2253
66,Lakshadweep,24,25,27,28,104
67,Kerala,12576,12951,13363,13816,52706
68,Tamil Nadu,26957,27302,27645,27988,109892
69,Pondicherry,470,490,510,532,2002
70,AndamanNicobar Islands,141,143,145,148,577
71,JammuKashmir,344,366,390,415,1515
72,Himachal Pradesh,178,188,197,207,770
73,Punjab,751,788,827,868,3234
74,Chandigarh,30,31,33,35,129
75,Uttaranchal,265,282,299,317,1163
76,Haryana,694,733,775,816,3018
77,Delhi,460,483,507,531,1981
78,Rajasthan,1832,1939,2051,2171,7993
79,Uttar Pradesh,5388,5722,6077,6454,23641
80,Bihar,2795,2981,3179,3390,12345
81,Sikkim,6,6,6,7,25
82,Arunachal Pradesh,13,13,14,14,54
83,Nagaland,19,19,19,19,76
84,Manipur,25,24,24,24,97
85,Mizoram,10,10,10,10,40
86,Tripura,34,35,36,37,142
87,Meghalaya,27,28,28,29,112
88,Assam,288,291,294,297,1170
89,West Bengal,2413,2549,2692,2844,10498
90,Jharkhand,872,927,986,1048,3833
91,Odisha,1089,1148,1209,1274,4720
92,Chattisgarh,661,703,748,796,2908
93,Madhya Pradesh,1937,2055,2180,2312,8484
94,Gujarat,1620,1716,1817,1924,7077
95,DamanDiu,8,9,11,13,41
96,DadraNagar Haveli,10,11,12,13,46
97,Maharashtra,2997,3153,3317,3489,12956
98,Andhra Pradesh,2191,2331,2481,2643,9646
99,Karnataka,1597,1687,1782,1882,6948
100,Goa,38,40,42,44,164
101,Lakshadweep,2,2,2,2,8
102,Kerala,824,872,925,983,3604
103,Tamil Nadu,1851,1930,2012,2096,7889
104,Pondicherry,32,34,36,39,141
105,AndamanNicobar Islands,10,11,11,12,44
106,Delhi,2,2,2,2,8
107,Delhi,824,872,925,983,3604
108,Goa,8,9,11,13,41
109,Maharashtra,1937,2055,2180,2312,8484
110,Kerala,34,35,36,37,142
